"Timestamp","Participant ID","Round Number","Bicep Curls: Set 1","Bicep Curls: Set 2","Lateral Raises: Set 1","Lateral Raises: Set 2","Any researcher notes","Stagnant to Lively","Inert to Interactive","Apathetic to Responsive","Unfriendly to Friendly","Unkind to Kind","Unpleasant to Pleasant","Incompetent to Competent","Unintelligent to Intelligent","How strict did you feel the robot coach was?","How motivational did you feel the robot coach was?","How corrective did you feel the robot coach was?","Any additional comments"
"2023/06/12 11:23:01 AM AST","9","2","2","3","4","5","The participant is giggling at the robot's face. the participant changed weights to 3 during rest and changed back to 6.","4","4","4","5","4","4","5","5","3","4","4","Slight delay between critiques of different nature might be useful - too many corrections at once became slightly overwhelming"
"2023/06/12 11:32:25 AM AST","9","3","3","4","6","8","","5","5","5","5","5","5","5","5","2","5","4","Liked this one the best - had positive feedback for good form in addition to feedback for form that was not ideal. Positive feedback acts as a buffer between strings of otherwise negative feedback. Might be useful for robot to provide spaced-out methods for correction rather than only saying what needs to be correct (ex: try keeping track of your breath to help you fully extend your arms). Would also be nice for the robot to have a name/introduce itself :)
"
"2023/06/12 2:12:07 PM AST","10","1","7","9","5","7","The participant looks around 5'3"" to 5'5"". The participant uses 6 lbs weights for bicep curls and 3 lbs weights for lateral raises.","2","3","3","3","3","3","4","4","3","4","1",""
"2023/06/12 2:19:39 PM AST","10","2","6","8","8","9","The participant uses 6 lbs weights for bicep curls and 3lbs for lateral raises.","4","4","4","4","4","4","4","4","4","4","5",""
"2023/06/12 2:27:16 PM AST","10","3","4","5","8","10","The participant uses 3 lbs weights for bicep curls and 3 lbs for lateral raises.","5","5","5","4","4","4","5","5","5","4","5",""
"2023/06/12 3:13:36 PM AST","11","1","7","3","9","4","The participant looks around 6'2"". The participant uses 10 lbs weights for bicep curls and lateral raises. ","3","4","3","3","3","4","4","3","3","2","2",""
"2023/06/12 3:21:49 PM AST","11","2","8","7","6","8","The participant uses 6 lbs weights for bicep curls set 1, 3 lbs weights for bicep curls set 2,  3 lbs for lateral raises set 1, and 10 lbs weights for lateral raises set 2. the participant said it is tiring.","4","4","4","4","2","2","4","5","5","4","5",""
"2023/06/12 3:29:20 PM AST","11","3","7","5","8","8","The participant uses 3 lbs for BC 1, BC 2, LR 1, and LR 2.","5","4","5","4","3","3","5","5","5","4","4",""
"2023/06/13 2:54:45 PM AST","12","1","2","5","9","10","The participant looks around 6'3"". The participant used 10 for BC 1 (but started half way so need to be discarded), BC 2, LR 1, and LR 2.","4","5","3","5","5","5","3","5","4","5","5",""
"2023/06/13 3:04:39 PM AST","12","2","1","1","2","2","The participant uses 3 lbs for BC 1,  BC 2, LR 1, and LR 2. The participant was saying that he did not reach 90 degrees for LR 1.","5","5","5","5","5","5","5","5","3","5","4","i enjoyed the smiles and comments and corrections"
"2023/06/13 3:15:03 PM AST","12","3","1","1","7","9","","5","5","5","5","5","5","5","5","5","5","5","THIS A GOOD COACH AND TRAINER RIGHT NOW FOR A computer product"
"2023/06/13 3:38:26 PM AST","13","1","8","4","7","5","The participant used 6 for BC 1 , 3 for BC 2, LR1, LR2","2","2","2","2","2","4","4","2","4","3","2","It should move around a bit more than it even does, just to look engaged."
